"Município";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";" Total"
"312120 DELFINOPOLIS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"95188";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"95188"
"312125 DELTA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"169470";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"169470"
"312130 DESCOBERTO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"72690";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"72690"
"312140 DESTERRO DE ENTRE RIOS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"103880";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"103880"
"312150 DESTERRO DO MELO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"52922";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"52922"
"312160 DIAMANTINA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"694175";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"694175"
"312170 DIOGO DE VASCONCELOS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"61624";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"61624"
"312180 DIONISIO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"126189";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"126189"
"312190 DIVINESIA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"54480";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"54480"
"312200 DIVINO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"305345";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"305345"
"312210 DIVINO DAS LARANJEIRAS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"74148";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"74148"
"312220 DIVINOLANDIA DE MINAS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"114176";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"114176"
"312230 DIVINOPOLIS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3002892";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3002892"
"312235 DIVISA ALEGRE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"105017";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"105017"
"312240 DIVISA NOVA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"95086";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"95086"
"312245 DIVISOPOLIS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"130530";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"130530"
"312247 DOM BOSCO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"64780";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"64780"
"312250 DOM CAVATI";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"85965";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"85965"
"312260 DOM JOAQUIM";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"89551";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"89551"
"312270 DOM SILVERIO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"71090";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"71090"
"312280 DOM VICOSO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"39063";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"39063"
"312290 DONA EUSEBIA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"93026";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"93026"
"312300 DORES DE CAMPOS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"135055";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"135055"
"312310 DORES DE GUANHAES";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"103620";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"103620"
"312320 DORES DO INDAIA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"217705";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"217705"
